user_id,age,gender,device,traffic_source,session_time,pages_viewed,variant,purchased,purchase_amount
0,56,male,mobile,organic,9.786625034027141,2,B,0,0.0
1,46,female,mobile,sns,6.898696535848757,1,B,0,0.0
2,32,female,mobile,organic,2.892049236190386,3,B,0,0.0
3,60,female,desktop,sns,4.715057297135249,1,A,0,0.0
4,25,male,mobile,ads,0.873942445366517,3,B,0,0.0
5,38,male,mobile,sns,5.598854061247785,6,A,0,0.0
6,56,male,mobile,organic,0.9877034469695107,3,B,0,0.0
7,36,male,desktop,sns,5.920027268512381,2,B,0,0.0
8,40,male,mobile,ads,1.3042151555503232,1,B,0,0.0
9,28,male,mobile,organic,0.6252731117308141,4,B,0,0.0
10,28,male,mobile,sns,0.9033215947152424,4,A,0,0.0
11,41,male,mobile,organic,0.00997061079855313,3,B,0,0.0
12,53,female,mobile,sns,6.34237205923132,1,B,0,0.0
13,57,female,mobile,organic,6.591329354919006,4,A,0,0.0
14,41,male,desktop,ads,3.6173448731352558,2,A,0,0.0
15,20,male,mobile,ads,0.8798854342037745,4,A,0,0.0
16,39,female,mobile,organic,0.43626250762010454,1,B,0,0.0
17,19,male,desktop,organic,0.09657146158574832,5,A,1,2757.5973463222995
18,41,male,mobile,organic,0.9060998805753395,3,A,0,0.0
19,61,male,mobile,organic,11.075414535748173,1,A,0,0.0
20,47,female,mobile,organic,1.3823052658091772,2,A,0,0.0
21,55,female,mobile,ads,2.186879373005469,1,A,0,0.0
22,19,female,desktop,organic,0.5565882570548336,5,A,0,0.0
23,38,female,mobile,organic,1.2574663233084151,1,B,0,0.0
24,50,female,desktop,ads,3.661775005095822,3,A,0,0.0
25,29,male,mobile,organic,4.679313638308699,2,B,0,0.0
26,39,female,mobile,sns,1.4075213996189349,3,A,0,0.0
27,61,male,mobile,sns,0.2973285639384077,2,A,0,0.0
28,42,male,mobile,ads,2.479954925116879,5,A,0,0.0
29,44,female,mobile,ads,1.3341932089252793,4,B,0,0.0
30,59,female,desktop,sns,1.2394481473601149,5,A,0,0.0
31,45,male,mobile,organic,16.077258807530036,2,A,0,0.0
32,33,male,desktop,organic,4.789477740754984,3,A,0,0.0
33,32,male,mobile,organic,4.069555759654726,2,A,0,0.0
34,64,female,desktop,ads,2.6873463678898757,1,B,0,0.0
35,61,female,desktop,organic,2.8013429223173603,3,B,0,0.0
36,20,female,desktop,ads,3.8924906350990818,1,B,0,0.0
37,54,female,desktop,sns,5.960712084619026,7,B,0,0.0
38,24,female,desktop,sns,6.055760841675229,6,B,0,0.0
39,38,male,mobile,ads,0.9418625811311385,3,A,0,0.0
40,26,female,mobile,organic,3.4668635507154195,4,A,0,0.0
41,56,male,mobile,sns,2.6547853333703615,1,A,0,0.0
42,35,male,desktop,ads,10.221413266333093,1,B,0,0.0
43,21,male,mobile,organic,4.99047283861855,2,A,1,7233.736324541476
44,42,female,desktop,organic,3.801823142536145,3,B,0,0.0
45,31,female,mobile,sns,0.6130682839680344,3,A,0,0.0
46,26,female,mobile,ads,4.6524286456636785,1,B,0,0.0
47,43,male,mobile,sns,0.6233051440267388,4,A,1,5468.488084078542
48,19,male,mobile,sns,2.0564595718436522,1,A,0,0.0
49,37,male,mobile,ads,0.7706648613371263,3,A,0,0.0
50,45,male,mobile,ads,5.889473191581443,3,A,0,0.0
51,64,male,mobile,organic,1.1549469593972321,1,B,0,0.0
52,24,male,mobile,organic,2.4867456483084243,2,A,0,0.0
53,61,female,mobile,organic,11.30121060443565,4,A,0,0.0
54,25,female,mobile,ads,1.1427681936507676,2,A,0,0.0
55,64,female,desktop,ads,3.544402147474845,0,B,0,0.0
56,52,female,mobile,sns,2.717361033171202,4,A,0,0.0
57,31,male,mobile,organic,0.09145146658282576,0,A,0,0.0
58,34,male,mobile,ads,7.869343172279621,2,A,0,0.0
59,53,female,mobile,ads,0.35772655764686,5,A,0,0.0
60,57,male,mobile,ads,3.214695072837621,1,A,0,0.0
61,21,female,mobile,ads,4.112616604663264,5,B,1,5836.37792885782
62,19,female,mobile,organic,4.950042355320459,4,B,0,0.0
63,23,female,mobile,ads,5.833892980285947,4,B,0,0.0
64,59,male,mobile,organic,1.4602739846099724,3,A,0,0.0
65,21,female,desktop,organic,0.05014449182274021,6,B,1,8305.497911633758
66,46,female,desktop,organic,6.426703629946992,2,A,0,0.0
67,35,female,mobile,ads,3.8356545643634714,4,A,0,0.0
68,43,male,mobile,sns,9.043034056564426,2,A,0,0.0
69,61,male,mobile,ads,8.612707276657229,5,A,0,0.0
70,51,female,mobile,ads,9.267945682339606,3,B,0,0.0
71,27,male,desktop,ads,3.318861004991347,3,B,0,0.0
